"Index" "XAU.USD"
2014-01-10 1236.175
2014-01-11 1248.245
2014-01-12 1248.31
2014-01-13 1249.53
2014-01-14 1250.165
2014-01-15 1240.39
2014-01-16 1240.77
2014-01-17 1245.175
2014-01-18 1253.86
2014-01-19 1253.87
2014-01-20 1255.62
2014-01-21 1248.3
2014-01-22 1241.05
2014-01-23 1245.5
2014-01-24 1263.22
2014-01-25 1269.835
2014-01-26 1269.88
2014-01-27 1266.915
2014-01-28 1255.6
2014-01-29 1257.91
2014-01-30 1255.825
2014-01-31 1244.085
2014-02-01 1244.47
2014-02-02 1244.48
2014-02-03 1248.94
2014-02-04 1255.22
2014-02-05 1256.885
2014-02-06 1258.095
2014-02-07 1261.285
2014-02-08 1267.42
2014-02-09 1267.42
2014-02-10 1271.93
2014-02-11 1283.775
2014-02-12 1289.185
2014-02-13 1293.045
2014-02-14 1310.39
2014-02-15 1318.815
2014-02-16 1318.83
2014-02-17 1325.8
2014-02-18 1321.855
2014-02-19 1318.96
2014-02-20 1313.995
2014-02-21 1321.29
2014-02-22 1324.27
2014-02-23 1324.295
2014-02-24 1329.645
2014-02-25 1336.68
2014-02-26 1337
2014-02-27 1330.015
2014-02-28 1329
2014-03-01 1326.53
2014-03-02 1326.56
2014-03-03 1344.345
2014-03-04 1342.19
2014-03-05 1336.55
2014-03-06 1339.84
2014-03-07 1345.785
2014-03-08 1340.095
2014-03-09 1340.08
2014-03-10 1337.09
2014-03-11 1344.475
2014-03-12 1359.02
2014-03-13 1370.26
2014-03-14 1374.96
2014-03-15 1383.25
2014-03-16 1383.25
2014-03-17 1379.365
2014-03-18 1360.395
2014-03-19 1348.12
2014-03-20 1329.39
2014-03-21 1334.355
2014-03-22 1334.565
2014-03-23 1334.565
2014-03-24 1322.205
2014-03-25 1312.455
2014-03-26 1310.26
2014-03-27 1299.145
2014-03-28 1293.635
2014-03-29 1294.97
2014-03-30 1294.97
2014-03-31 1292.665
2014-04-01 1283.455
2014-04-02 1285.745
2014-04-03 1288.57
2014-04-04 1293.04
2014-04-05 1303.425
2014-04-06 1303.425
2014-04-07 1300.36
2014-04-08 1305.955
2014-04-09 1308.835
2014-04-10 1317.87
2014-04-11 1318.855
2014-04-12 1318.615
2014-04-13 1318.615
2014-04-14 1325.915
2014-04-15 1311.795
2014-04-16 1301.23
2014-04-17 1299.765
2014-04-18 1295.785
2014-04-19 1295.795
2014-04-20 1295.795
2014-04-21 1288.755
2014-04-22 1287.4
2014-04-23 1284.62
2014-04-24 1285.305
2014-04-25 1296.47
2014-04-26 1302.88
2014-04-27 1302.88
2014-04-28 1301.095
2014-04-29 1294.825
2014-04-30 1293.065
2014-05-01 1286.165
2014-05-02 1288.285
2014-05-03 1299.665
2014-05-04 1299.665
2014-05-05 1308.185
2014-05-06 1309.125
2014-05-07 1304.64
2014-05-08 1290.21
2014-05-09 1289.915
2014-05-10 1288.78
2014-05-11 1288.78
2014-05-12 1292.54
2014-05-13 1294.245
2014-05-14 1299.925
2014-05-15 1301.765
2014-05-16 1294.63
2014-05-17 1293.22
2014-05-18 1293.22
2014-05-19 1296.38
2014-05-20 1293.06
2014-05-21 1292.45
2014-05-22 1294.46
2014-05-23 1293.24
2014-05-24 1292.37
2014-05-25 1292.37
2014-05-26 1292.675
2014-05-27 1281.74
2014-05-28 1262.845
2014-05-29 1256.16
2014-05-30 1253.51
2014-05-31 1249.665
2014-06-01 1249.665
2014-06-02 1245.925
2014-06-03 1244.855
2014-06-04 1245.305
2014-06-05 1247.25
2014-06-06 1253.43
2014-06-07 1253.125
2014-06-08 1253.125
2014-06-09 1253.835
2014-06-10 1256.24
2014-06-11 1261.535
2014-06-12 1265.19
2014-06-13 1273.755
2014-06-14 1277.2
2014-06-15 1277.2
2014-06-16 1278.645
2014-06-17 1268.62
2014-06-18 1270.74
2014-06-19 1288.515
2014-06-20 1313.92
2014-06-21 1314.74
2014-06-22 1314.74
2014-06-23 1314.49
2014-06-24 1318.57
2014-06-25 1316.6
2014-06-26 1315.465
2014-06-27 1317.735
2014-06-28 1315.415
2014-06-29 1315.415
2014-06-30 1317.025
2014-07-01 1326.86
2014-07-02 1326.82
2014-07-03 1321.965
2014-07-04 1320.48
2014-07-05 1320.48
2014-07-06 1320.31
2014-07-07 1316.13
2014-07-08 1318.63
2014-07-09 1323.23
2014-07-10 1334.03
2014-07-11 1336.785
2014-07-12 1337.935
2014-07-13 1337.935
2014-07-14 1321.625
2014-07-15 1305.475
2014-07-16 1297.85
2014-07-17 1306.245
2014-07-18 1312.715
2014-07-19 1312.715
2014-07-20 1311.17
2014-07-21 1312.555
2014-07-22 1308.87
2014-07-23 1306.96
2014-07-24 1297.305
2014-07-25 1295.475
2014-07-26 1306.375
2014-07-27 1306.375
2014-07-28 1304.81
2014-07-29 1304.225
2014-07-30 1297.91
2014-07-31 1291.685
2014-08-01 1287.295
2014-08-02 1294.49
2014-08-03 1294.49
2014-08-04 1291.85
2014-08-05 1289.115
2014-08-06 1295.985
2014-08-07 1307.25
2014-08-08 1313.705
2014-08-09 1309.875
2014-08-10 1309.875
2014-08-11 1308.255
2014-08-12 1310.18
2014-08-13 1310.01
2014-08-14 1313.07
2014-08-15 1308.94
2014-08-16 1305.025
2014-08-17 1305.025
2014-08-18 1300.345
2014-08-19 1298.3
2014-08-20 1294.58
2014-08-21 1282.385
2014-08-22 1279.28
2014-08-23 1281.145
2014-08-24 1281.145
2014-08-25 1278.02
2014-08-26 1283.095
2014-08-27 1283.61
2014-08-28 1288.305
2014-08-29 1288.045
2014-08-30 1288.045
2014-08-31 1287.585
2014-09-01 1287.31
2014-09-02 1275.345
2014-09-03 1267.49
2014-09-04 1269.52
2014-09-05 1264.475
2014-09-06 1269.11
2014-09-07 1269.11
2014-09-08 1264.205
2014-09-09 1254.97
2014-09-10 1252.79
2014-09-11 1244.985
2014-09-12 1235.365
2014-09-13 1229.415
2014-09-14 1229.415
2014-09-15 1233.155
2014-09-16 1236.09
2014-09-17 1235.265
2014-09-18 1223.37
2014-09-19 1221.53
2014-09-20 1215.765
2014-09-21 1215.765
2014-09-22 1214.925
2014-09-23 1221.04
2014-09-24 1221.255
2014-09-25 1215.13
2014-09-26 1220.715
2014-09-27 1218.32
2014-09-28 1218.32
2014-09-29 1218.36
2014-09-30 1213.25
2014-10-01 1210.335
2014-10-02 1215.17
2014-10-03 1204.89
2014-10-04 1191.29
2014-10-05 1191.29
2014-10-06 1194.95
2014-10-07 1207.71
2014-10-08 1213.87
2014-10-09 1225.135
2014-10-10 1222.505
2014-10-11 1223.06
2014-10-12 1223.06
2014-10-13 1230.52
2014-10-14 1234.24
2014-10-15 1232.055
2014-10-16 1240.655
2014-10-17 1240.655
2014-10-18 1238.58
2014-10-19 1238.58
2014-10-20 1241.235
2014-10-21 1249.285
2014-10-22 1246.635
2014-10-23 1237.575
2014-10-24 1231.535
2014-10-25 1231.205
2014-10-26 1231.205
2014-10-27 1229.935
2014-10-28 1228.63
2014-10-29 1225.94
2014-10-30 1206.49
2014-10-31 1181.855
2014-11-01 1173.155
2014-11-02 1173.155
2014-11-03 1169.46
2014-11-04 1167.625
2014-11-05 1153.785
2014-11-06 1144.105
2014-11-07 1149.03
2014-11-08 1177.555
2014-11-09 1177.585
2014-11-10 1168.48
2014-11-11 1155.635
2014-11-12 1163.985
2014-11-13 1161.595
2014-11-14 1163.385
2014-11-15 1189.115
2014-11-16 1189.105
2014-11-17 1187.14
2014-11-18 1192.37
2014-11-19 1194.185
2014-11-20 1187.135
2014-11-21 1196.285
2014-11-22 1201.505
2014-11-23 1201.525
2014-11-24 1198.895
2014-11-25 1198.57
2014-11-26 1198.915
2014-11-27 1194.695
2014-11-28 1182.865
2014-11-29 1167.045
2014-11-30 1167.045
2014-12-01 1173.915
2014-12-02 1202.585
2014-12-03 1203.36
2014-12-04 1206.99
2014-12-05 1200.505
2014-12-06 1192.015
2014-12-07 1192.045
2014-12-08 1194.58
2014-12-09 1211.455
2014-12-10 1230.035
2014-12-11 1225.025
2014-12-12 1223.64
2014-12-13 1222.44
2014-12-14 1222.46
2014-12-15 1214.1
2014-12-16 1198.82
2014-12-17 1196.845
2014-12-18 1197.61
2014-12-19 1197.61
2014-12-20 1195.64
2014-12-21 1195.665
2014-12-22 1192.95
2014-12-23 1178.03
2014-12-24 1176.95
2014-12-25 1174.575
2014-12-26 1188.16
2014-12-27 1196.485
2014-12-28 1196.53
2014-12-29 1191.68
2014-12-30 1191.265
2014-12-31 1196.325
2015-01-01 1182.79
2015-01-02 1184.235
2015-01-03 1188.76
2015-01-04 1188.775
2015-01-05 1194.23
2015-01-06 1209.615
2015-01-07 1214.8
2015-01-08 1210.045
2015-01-09 1213.04
2015-01-10 1223.3
2015-01-11 1223.335
2015-01-12 1225.995
2015-01-13 1236.17
2015-01-14 1232.03
2015-01-15 1241.835
2015-01-16 1264.625
2015-01-17 1280.12
2015-01-18 1280.2
2015-01-19 1276.95
2015-01-20 1284.27
2015-01-21 1296.085
2015-01-22 1293.36
2015-01-23 1296.16
2015-01-24 1294.705
2015-01-25 1294.715
2015-01-26 1287.63
2015-01-27 1283.525
2015-01-28 1289.345
2015-01-29 1274.3
2015-01-30 1264.99
2015-01-31 1283.96
2015-02-01 1283.96
2015-02-02 1277.995
2015-02-03 1272.47
2015-02-04 1263.965
2015-02-05 1266.95
2015-02-06 1256.64
2015-02-07 1234.445
2015-02-08 1234.455
2015-02-09 1239.11
2015-02-10 1238.99
2015-02-11 1232.525
2015-02-12 1222.55
2015-02-13 1227.3
2015-02-14 1229.76
2015-02-15 1229.775
2015-02-16 1232.06
2015-02-17 1221.775
2015-02-18 1207.45
2015-02-19 1214.025
2015-02-20 1206.925
2015-02-21 1201.635
2015-02-22 1201.62
2015-02-23 1200.75
2015-02-24 1199.965
2015-02-25 1206.625
2015-02-26 1210.47
2015-02-27 1210.565
2015-02-28 1213.135
2015-03-01 1213.14
2015-03-02 1215.335
2015-03-03 1207.135
2015-03-04 1204.47
2015-03-05 1202.015
2015-03-06 1189.845
2015-03-07 1167.31
2015-03-08 1167.335
2015-03-09 1170.585
2015-03-10 1163.67
2015-03-11 1159.235
2015-03-12 1155.66
2015-03-13 1156.7
2015-03-14 1158.6
2015-03-15 1158.6
2015-03-16 1157.21
2015-03-17 1153.165
2015-03-18 1152.22
2015-03-19 1169.335
2015-03-20 1175.09
2015-03-21 1182.61
2015-03-22 1182.61
2015-03-23 1184.755
2015-03-24 1190.085
2015-03-25 1193.47
2015-03-26 1202.975
2015-03-27 1201.14
2015-03-28 1198.81
2015-03-29 1198.81
2015-03-30 1190.315
2015-03-31 1184.375
2015-04-01 1191.375
2015-04-02 1202.73
2015-04-03 1203.195
2015-04-04 1203.21
2015-04-05 1203.21
2015-04-06 1217.805
2015-04-07 1212.105
2015-04-08 1207.78
2015-04-09 1197.445
2015-04-10 1200.845
2015-04-11 1207.75
2015-04-12 1207.75
2015-04-13 1202.915
2015-04-14 1195.295
2015-04-15 1194.725
2015-04-16 1203.215
2015-04-17 1202.12
2015-04-18 1204.42
2015-04-19 1204.42
2015-04-20 1201.06
2015-04-21 1197.9
2015-04-22 1197.415
2015-04-23 1189.895
2015-04-24 1188.09
2015-04-25 1179.48
2015-04-26 1179.48
2015-04-27 1188.415
2015-04-28 1204.905
2015-04-29 1209.215
2015-04-30 1196.97
2015-05-01 1179.74
2015-05-02 1178.465
2015-05-03 1178.465
2015-05-04 1184.625
2015-05-05 1190.795
2015-05-06 1193.165
2015-05-07 1186.145
2015-05-08 1186.08
2015-05-09 1188.41
2015-05-10 1188.41
2015-05-11 1187.09
2015-05-12 1188.24
2015-05-13 1200.835
2015-05-14 1217.815
2015-05-15 1220.415
2015-05-16 1224.065
2015-05-17 1224.065
2015-05-18 1226.145
2015-05-19 1217.815
2015-05-20 1209.02
2015-05-21 1208.705
2015-05-22 1207.68
2015-05-23 1205.975
2015-05-24 1205.975
2015-05-25 1205.26
2015-05-26 1196.94
2015-05-27 1187.7
2015-05-28 1188.19
2015-05-29 1189.565
2015-05-30 1190.425
2015-05-31 1190.425
2015-06-01 1190.69
2015-06-02 1190.225
2015-06-03 1190.445
2015-06-04 1181.385
2015-06-05 1174.16
2015-06-06 1172.015
2015-06-07 1172.015
2015-06-08 1173.26
2015-06-09 1177.325
2015-06-10 1183.235
2015-06-11 1183.295
2015-06-12 1181.52
2015-06-13 1181.695
2015-06-14 1181.695
2015-06-15 1182.52
2015-06-16 1183.645
2015-06-17 1180.465
2015-06-18 1194.075
2015-06-19 1200.995
2015-06-20 1200.3
2015-06-21 1200.3
2015-06-22 1193.29
2015-06-23 1182.85
2015-06-24 1176.45
2015-06-25 1174.965
2015-06-26 1174.065
2015-06-27 1175.385
2015-06-28 1175.385
2015-06-29 1180.42
2015-06-30 1175.38
2015-07-01 1171.95
2015-07-02 1165.86
2015-07-03 1167.87
2015-07-04 1168.905
2015-07-05 1168.905
2015-07-06 1168.405
2015-07-07 1163.85
2015-07-08 1156.27
2015-07-09 1161.095
2015-07-10 1161.385
2015-07-11 1163.645
2015-07-12 1163.645
2015-07-13 1158.695
2015-07-14 1155.68
2015-07-15 1152.99
2015-07-16 1146.405
2015-07-17 1140.9
2015-07-18 1134.47
2015-07-19 1134.47
2015-07-20 1113.835
2015-07-21 1103.87
2015-07-22 1095.145
2015-07-23 1096.775
2015-07-24 1086.52
2015-07-25 1099.535
2015-07-26 1099.535
2015-07-27 1097.405
2015-07-28 1095.105
2015-07-29 1096.37
2015-07-30 1090.895
2015-07-31 1088.54
2015-08-01 1095.57
2015-08-02 1095.57
2015-08-03 1092.745
2015-08-04 1088.38
2015-08-05 1086.54
2015-08-06 1086.97
2015-08-07 1091.58
2015-08-08 1094.175
2015-08-09 1094.175
2015-08-10 1097.445
2015-08-11 1106.415
2015-08-12 1116.19
2015-08-13 1119.325
2015-08-14 1115.585
2015-08-15 1114.92
2015-08-16 1114.92
2015-08-17 1117.285
2015-08-18 1117.85
2015-08-19 1122.775
2015-08-20 1141.605
2015-08-21 1157.34
2015-08-22 1161.11
2015-08-23 1161.11
2015-08-24 1158.27
2015-08-25 1147.955
2015-08-26 1133.06
2015-08-27 1125.445
2015-08-28 1130.39
2015-08-29 1133.745
2015-08-30 1133.745
2015-08-31 1133
2015-09-01 1140.495
2015-09-02 1138.015
2015-09-03 1129.76
2015-09-04 1123.645
2015-09-05 1121.58
2015-09-06 1121.58
2015-09-07 1121.25
2015-09-08 1121.525
2015-09-09 1117.735
2015-09-10 1108.56
2015-09-11 1108.245
2015-09-12 1107.765
2015-09-13 1107.765
2015-09-14 1107.6
2015-09-15 1106.65
2015-09-16 1110.93
2015-09-17 1120.715
2015-09-18 1133.905
2015-09-19 1139.06
2015-09-20 1139.06
2015-09-21 1136.095
2015-09-22 1130.185
2015-09-23 1127.66
2015-09-24 1140.305
2015-09-25 1146.915
2015-09-26 1146.23
2015-09-27 1146.23
2015-09-28 1138.955
2015-09-29 1129.98
2015-09-30 1121.735
2015-10-01 1114.805
2015-10-02 1120.125
2015-10-03 1138.49
2015-10-04 1138.49
2015-10-05 1136.14
2015-10-06 1140.615
2015-10-07 1148.085
2015-10-08 1143.705
2015-10-09 1150.13
2015-10-10 1156.36
2015-10-11 1156.36
2015-10-12 1161.75
2015-10-13 1160.55
2015-10-14 1174.265
2015-10-15 1184.7
2015-10-16 1180.135
2015-10-17 1176.74
2015-10-18 1176.74
2015-10-19 1173.51
2015-10-20 1173.22
2015-10-21 1173.51
2015-10-22 1166.82
2015-10-23 1168.125
2015-10-24 1164.46
2015-10-25 1164.46
2015-10-26 1165.11
2015-10-27 1165.21
2015-10-28 1169.895
2015-10-29 1155.995
2015-10-30 1145.735
2015-10-31 1142.175
2015-11-01 1142.175
